"Date","Price","Open","High","Low","Vol.","Change %"
"04/01/2026","83.00","83.31","84.04","82.58","28.47M","0.63%"
"04/02/2026","83.55","81.51","83.77","81.36","14.01M","0.66%"
"04/06/2026","83.09","84.04","84.22","82.80","8.65M","-0.55%"
"04/07/2026","83.69","83.05","83.70","82.60","15.25M","0.72%"
"04/08/2026","85.59","86.50","86.72","84.73","24.92M","2.27%"
"04/09/2026","84.69","85.36","85.54","84.26","17.95M","-1.05%"
"04/10/2026","85.59","85.00","86.39","84.58","23.97M","1.06%"
"04/13/2026","87.36","85.11","87.36","84.92","24.64M","2.07%"
"04/14/2026","88.30","87.50","88.54","87.18","18.38M","1.08%"
"04/15/2026","88.44","88.15","89.08","87.89","24.52M","0.16%"
"04/16/2026","87.44","88.89","89.39","87.10","13.60M","-1.13%"
"04/17/2026","89.75","88.20","89.75","87.80","29.87M","2.64%"
"04/20/2026","88.73","88.80","89.44","88.03","16.05M","-1.14%"
"04/22/2026","87.22","87.95","88.73","87.22","13.21M","-1.70%"
"04/23/2026","85.97","86.64","87.17","85.71","12.62M","-1.43%"
"04/24/2026","85.87","85.97","86.99","85.75","11.43M","-0.12%"
